baseline_type,window_length,correlation_kind,component_i,component_j,metric,empirical_value,baseline_median,baseline_p05,baseline_p95,difference_from_median,percentile_rank,inside_envelope,above_envelope,below_envelope,n_simulations,quantile_method,outside_envelope
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_09,correlation,0.09403410748877052,0.0018024982255862288,-0.038242599868024425,0.03054725342919943,0.09223160926318429,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_01,correlation,-0.10173030156778368,-0.05994458185528688,-0.10493276025585416,-0.02291618843754323,-0.0417857197124968,0.06,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_02,correlation,0.00503725605852006,-0.029719090641935432,-0.06820004227730408,0.01420855111237524,0.03475634670045549,0.9,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_03,correlation,0.03675816961584827,-0.020000441252797076,-0.06464070467471819,0.02043397919716469,0.056758610868645344,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_04,correlation,0.0013808136830641819,-0.02020365458058459,-0.06571081967327903,0.02872635801224378,0.021584468263648772,0.77,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_05,correlation,0.03704760265677518,-0.012781370256736257,-0.0557092033763172,0.032476674820718046,0.04982897291351144,0.97,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_06,correlation,0.10165434006418722,-0.011410406505311797,-0.050359631045693874,0.03588691496823558,0.11306474656949903,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_07,correlation,0.14455150238788128,-0.004634631513641085,-0.043240746357238125,0.0387307980435301,0.14918613390152236,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_08,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_08,D_09,correlation,0.1286444710256506,-0.0009401909355059716,-0.031892707082874346,0.02927422307664399,0.12958466196115656,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_01,correlation,-0.06713192169630458,-0.04137831944318644,-0.08149935420924416,0.008177138977614656,-0.025753602253118138,0.16,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_02,correlation,-0.04260266525523938,-0.024895142155176502,-0.07587622317701205,0.0210531760100783,-0.01770752310006288,0.25,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_03,correlation,0.03342386832213795,-0.017478706421380486,-0.062129981349207344,0.027388323600622502,0.05090257474351843,0.95,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_04,correlation,0.049035903448005604,-0.008291313838710596,-0.051957711251008155,0.03178413162779256,0.0573272172867162,0.98,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_05,correlation,0.051697908097272954,-0.008141970289864207,-0.05735243308262905,0.026989871670456654,0.05983987838713716,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_06,correlation,0.035105988552843755,-0.004278363052756284,-0.05177161316560124,0.039543897448458154,0.03938435160560004,0.92,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_07,correlation,0.09403410748877052,0.0018024982255862288,-0.038242599868024425,0.03054725342919943,0.09223160926318429,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_08,correlation,0.1286444710256506,-0.0009401909355059716,-0.031892707082874346,0.02927422307664399,0.12958466196115656,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_09,D_09,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_01,D_01,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.21,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_01,D_02,correlation,0.97442930038478,-0.0024411650778942934,-0.0716874880121521,0.07178302646576244,0.9768704654626743,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_03,correlation,0.9585170000941982,0.0033464233124922763,-0.06840944173689431,0.0794057975817657,0.9551705767817059,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_04,correlation,0.9369028964533509,-0.0028689819850344664,-0.06589449076573621,0.05643346122776517,0.9397718784383854,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_05,correlation,0.9137310143284431,0.007493608331025299,-0.07298273818620683,0.07577152477037742,0.9062374059974178,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_06,correlation,0.8893042197037472,-0.002639328217384277,-0.07740197736316407,0.056958392222700535,0.8919435479211315,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_07,correlation,0.8231714945548398,-6.622815563993732e-06,-0.047269100073317916,0.04538111543798622,0.8231781173704038,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_08,correlation,0.7694917626304416,0.00026546041779075167,-0.038177139022684124,0.03416829895429045,0.7692263022126509,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_01,D_09,correlation,0.626408656110726,-0.0022104259069224514,-0.04237390359900619,0.04771805468658605,0.6286190820176485,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_01,correlation,0.9744293003847799,-0.002441165077894293,-0.0716874880121521,0.07178302646576244,0.9768704654626742,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_02,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_02,D_03,correlation,0.9553108835964441,-0.003893721050668113,-0.06358186157042676,0.06382295906442735,0.9592046046471122,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_04,correlation,0.9405168775984823,0.005165357192473001,-0.07165703761236239,0.09218080280368884,0.9353515204060093,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_05,correlation,0.9145956915814275,0.0009612889882556484,-0.07201622822078843,0.054144310146580395,0.9136344025931719,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_06,correlation,0.8895720868955104,0.008884902277530473,-0.04110870463504589,0.04949835095064741,0.8806871846179799,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_07,correlation,0.824296111553342,0.0037347692015839984,-0.044791743382953296,0.04694816179587924,0.820561342351758,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_08,correlation,0.7678802286874695,0.006536948233310903,-0.041735367309659335,0.04080977654652109,0.7613432804541587,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_02,D_09,correlation,0.6209604368324639,0.0004532696247521856,-0.05750921454354718,0.051360848577407546,0.6205071672077117,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_01,correlation,0.9585170000941983,0.0033464233124922763,-0.06840944173689431,0.0794057975817657,0.955170576781706,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_02,correlation,0.9553108835964441,-0.0038937210506681122,-0.06358186157042678,0.06382295906442736,0.9592046046471122,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_03,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.3,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_03,D_04,correlation,0.9258113827076838,-0.00039622464108385986,-0.07243815043999369,0.06213350006124652,0.9262076073487677,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_05,correlation,0.8975187435135582,-0.003804175851872464,-0.06460788308632384,0.07244651739272351,0.9013229193654306,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_06,correlation,0.8667795016685117,-0.0011365712879547797,-0.057635530869506686,0.06519387593861904,0.8679160729564664,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_07,correlation,0.8047770289761832,0.0037776875024976356,-0.03602048735558156,0.05584512073966146,0.8009993414736856,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_08,correlation,0.7668606773248842,0.004376237402214735,-0.046105131606785324,0.04306489529133965,0.7624844399226695,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_03,D_09,correlation,0.6303882478617792,-0.002375336698143762,-0.04739413845211327,0.04268744931498881,0.6327635845599229,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_01,correlation,0.9369028964533508,-0.002868981985034467,-0.06589449076573621,0.05643346122776517,0.9397718784383853,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_02,correlation,0.9405168775984825,0.005165357192473001,-0.07165703761236239,0.09218080280368884,0.9353515204060094,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_03,correlation,0.9258113827076838,-0.00039622464108385986,-0.07243815043999369,0.06213350006124652,0.9262076073487677,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_04,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_04,D_05,correlation,0.8882917622213335,0.0011295674120855434,-0.08681067529754503,0.05987958566914159,0.887162194809248,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_06,correlation,0.8624850529260982,-0.004384985882208653,-0.07140502969487193,0.06232348959283359,0.8668700388083069,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_07,correlation,0.7986672773886827,-0.0022816283198419246,-0.04753531966484325,0.042086679872773536,0.8009489057085246,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_08,correlation,0.7439626998300024,-0.006304778164158038,-0.055636171597229445,0.039961075140068344,0.7502674779941605,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_04,D_09,correlation,0.6167287896177155,-2.2518444104742148e-05,-0.048704593705838344,0.050214227327329525,0.6167513080618202,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_01,correlation,0.9137310143284431,0.0074936083310253,-0.07298273818620683,0.07577152477037742,0.9062374059974178,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_02,correlation,0.9145956915814275,0.0009612889882556484,-0.07201622822078842,0.054144310146580395,0.9136344025931719,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_03,correlation,0.8975187435135582,-0.003804175851872464,-0.06460788308632384,0.07244651739272352,0.9013229193654306,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_04,correlation,0.8882917622213335,0.0011295674120855434,-0.08681067529754503,0.05987958566914159,0.887162194809248,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_05,correlation,0.9999999999999998,1.0,0.9999999999999998,1.0,-2.220446049250313e-16,0.31,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_05,D_06,correlation,0.838829781774659,0.0031074857553908355,-0.05225991002327699,0.06322789328637099,0.8357222960192681,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_07,correlation,0.7826016514337008,-0.0011757819746401328,-0.04451001513362827,0.04185247201866815,0.7837774334083408,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_08,correlation,0.7346861614919193,-0.0024440750515768413,-0.044533286892932754,0.04194836659169935,0.7371302365434962,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_05,D_09,correlation,0.6010088388902957,-0.003377037177394418,-0.04219003609959994,0.04080694049579303,0.6043858760676901,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_01,correlation,0.8893042197037472,-0.002639328217384277,-0.07740197736316405,0.056958392222700535,0.8919435479211315,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_02,correlation,0.8895720868955104,0.008884902277530471,-0.04110870463504588,0.04949835095064741,0.8806871846179799,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_03,correlation,0.8667795016685118,-0.0011365712879547797,-0.057635530869506686,0.06519387593861903,0.8679160729564666,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_04,correlation,0.8624850529260981,-0.004384985882208652,-0.07140502969487193,0.062323489592833584,0.8668700388083068,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_05,correlation,0.838829781774659,0.0031074857553908355,-0.052259910023276984,0.06322789328637099,0.8357222960192681,1.0,False,True,False,100,linear,True
gaussian,2048,rms_volatility_correlation,D_06,D_06,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
gaussian,2048,rms_volatility_correlation,D_06,D_07,correlation,0.7816521138376524,-0.00932140239322106,-0.06345145036732525,0.05329411525102432,0.7909735162308735,1.0,False,True,False,100,linear,True
