baseline_type,window_length,correlation_kind,component_i,component_j,metric,n_simulations,mean,median,std,p05,p95,min,max,quantile_method
gaussian,2048,rms_volatility_correlation,D_01,D_05,correlation,100,0.0069296612455389695,0.007493608331025299,0.04438396625847884,-0.07298273818620683,0.07577152477037742,-0.08986529535825809,0.10837410388039392,linear
gaussian,2048,rms_volatility_correlation,D_01,D_06,correlation,100,-0.003589893933764166,-0.002639328217384277,0.043152699695180555,-0.07740197736316407,0.056958392222700535,-0.11859348497419969,0.12046047825568608,linear
gaussian,2048,rms_volatility_correlation,D_01,D_07,correlation,100,-0.0017203680456617243,-6.622815563993732e-06,0.029996347496020457,-0.047269100073317916,0.04538111543798622,-0.08045124194796417,0.062136014454435645,linear
gaussian,2048,rms_volatility_correlation,D_01,D_08,correlation,100,-0.0014146862566947029,0.00026546041779075167,0.02482599933453474,-0.038177139022684124,0.03416829895429045,-0.10236867618258301,0.04148833852719829,linear
gaussian,2048,rms_volatility_correlation,D_01,D_09,correlation,100,0.0011570779184664447,-0.0022104259069224514,0.02967294903816482,-0.04237390359900619,0.04771805468658605,-0.05813579150401188,0.06271151111704612,linear
gaussian,2048,rms_volatility_correlation,D_02,D_01,correlation,100,-0.0052831330085438485,-0.002441165077894293,0.04600136100507185,-0.0716874880121521,0.07178302646576244,-0.1577386748461922,0.12975527447812463,linear
gaussian,2048,rms_volatility_correlation,D_02,D_02,correlation,100,1.0,1.0,1.1158161231197418e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_02,D_03,correlation,100,-0.006199943499376932,-0.003893721050668113,0.037796848924695495,-0.06358186157042676,0.06382295906442735,-0.08761415050328356,0.0819550787999675,linear
gaussian,2048,rms_volatility_correlation,D_02,D_04,correlation,100,0.007611346048158044,0.005165357192473001,0.04665891820992473,-0.07165703761236239,0.09218080280368884,-0.11770338816902559,0.12064322808903231,linear
gaussian,2048,rms_volatility_correlation,D_02,D_05,correlation,100,-0.002779062053991687,0.0009612889882556484,0.043136942079567024,-0.07201622822078843,0.054144310146580395,-0.1289563536200494,0.09674035503646126,linear
gaussian,2048,rms_volatility_correlation,D_02,D_06,correlation,100,0.007178942312356166,0.008884902277530473,0.03270899113140705,-0.04110870463504589,0.04949835095064741,-0.09647843126462058,0.08030831753144331,linear
gaussian,2048,rms_volatility_correlation,D_02,D_07,correlation,100,0.00280168716467116,0.0037347692015839984,0.028032198585707768,-0.044791743382953296,0.04694816179587924,-0.05746109309579567,0.07001843564023669,linear
gaussian,2048,rms_volatility_correlation,D_02,D_08,correlation,100,0.004468938392925716,0.006536948233310903,0.024778607130935784,-0.041735367309659335,0.04080977654652109,-0.05587889238103218,0.09116051392268261,linear
gaussian,2048,rms_volatility_correlation,D_02,D_09,correlation,100,-0.0023774742823127614,0.0004532696247521856,0.03300303315464811,-0.05750921454354718,0.051360848577407546,-0.09572450312955735,0.06750202176362627,linear
gaussian,2048,rms_volatility_correlation,D_03,D_01,correlation,100,0.0035850919285352455,0.0033464233124922763,0.045885204541422156,-0.06840944173689431,0.0794057975817657,-0.09644003615315888,0.09803054965291559,linear
gaussian,2048,rms_volatility_correlation,D_03,D_02,correlation,100,-0.006199943499376932,-0.0038937210506681122,0.03779684892469549,-0.06358186157042678,0.06382295906442736,-0.08761415050328356,0.0819550787999675,linear
gaussian,2048,rms_volatility_correlation,D_03,D_03,correlation,100,1.0,1.0,1.2223153213212885e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_03,D_04,correlation,100,-0.0021227840299135213,-0.00039622464108385986,0.042764887078462335,-0.07243815043999369,0.06213350006124652,-0.11802012573653964,0.08893126685069175,linear
gaussian,2048,rms_volatility_correlation,D_03,D_05,correlation,100,-0.00016522025254394042,-0.003804175851872464,0.043598245912741966,-0.06460788308632384,0.07244651739272351,-0.11556786030361625,0.10868608575706015,linear
gaussian,2048,rms_volatility_correlation,D_03,D_06,correlation,100,-0.0004283736270117442,-0.0011365712879547797,0.038422974609542235,-0.057635530869506686,0.06519387593861904,-0.09738543687467296,0.0960900388379639,linear
gaussian,2048,rms_volatility_correlation,D_03,D_07,correlation,100,0.004311615097990983,0.0037776875024976356,0.028483018745282637,-0.03602048735558156,0.05584512073966146,-0.06959505108773584,0.07790116087043772,linear
gaussian,2048,rms_volatility_correlation,D_03,D_08,correlation,100,0.0018907528450118644,0.004376237402214735,0.029403481289716447,-0.046105131606785324,0.04306489529133965,-0.08080395331347395,0.07411424217945602,linear
gaussian,2048,rms_volatility_correlation,D_03,D_09,correlation,100,-0.0010245751180926056,-0.002375336698143762,0.028629593466448746,-0.04739413845211327,0.04268744931498881,-0.07047189480378398,0.06383420506580631,linear
gaussian,2048,rms_volatility_correlation,D_04,D_01,correlation,100,-0.00480934336757145,-0.002868981985034467,0.039680404039847336,-0.06589449076573621,0.05643346122776517,-0.09712862192481542,0.11164783964786927,linear
gaussian,2048,rms_volatility_correlation,D_04,D_02,correlation,100,0.007611346048158044,0.005165357192473001,0.04665891820992473,-0.07165703761236239,0.09218080280368884,-0.1177033881690256,0.1206432280890323,linear
gaussian,2048,rms_volatility_correlation,D_04,D_03,correlation,100,-0.0021227840299135213,-0.00039622464108385986,0.04276488707846233,-0.07243815043999369,0.06213350006124652,-0.11802012573653962,0.08893126685069173,linear
gaussian,2048,rms_volatility_correlation,D_04,D_04,correlation,100,1.0,1.0,1.0226623691696763e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_04,D_05,correlation,100,-0.00540825198574665,0.0011295674120855434,0.045913404847597816,-0.08681067529754503,0.05987958566914159,-0.15043906876198815,0.10684799808084106,linear
gaussian,2048,rms_volatility_correlation,D_04,D_06,correlation,100,-0.003350557506192432,-0.004384985882208653,0.04010824649966929,-0.07140502969487193,0.06232348959283359,-0.09151096659631591,0.07877932084931066,linear
gaussian,2048,rms_volatility_correlation,D_04,D_07,correlation,100,0.0010235405687971004,-0.0022816283198419246,0.028036644561462303,-0.04753531966484325,0.042086679872773536,-0.06465327624035226,0.0662094683402314,linear
gaussian,2048,rms_volatility_correlation,D_04,D_08,correlation,100,-0.0051997688306804225,-0.006304778164158038,0.0307492827840264,-0.055636171597229445,0.039961075140068344,-0.06414156647866442,0.0693647675014058,linear
gaussian,2048,rms_volatility_correlation,D_04,D_09,correlation,100,0.003278136937690728,-2.2518444104742148e-05,0.029491772288990085,-0.048704593705838344,0.050214227327329525,-0.0604488119282614,0.07978937948576255,linear
gaussian,2048,rms_volatility_correlation,D_05,D_01,correlation,100,0.0069296612455389695,0.0074936083310253,0.04438396625847884,-0.07298273818620683,0.07577152477037742,-0.08986529535825809,0.10837410388039392,linear
gaussian,2048,rms_volatility_correlation,D_05,D_02,correlation,100,-0.0027790620539916867,0.0009612889882556484,0.043136942079567024,-0.07201622822078842,0.054144310146580395,-0.1289563536200494,0.09674035503646128,linear
gaussian,2048,rms_volatility_correlation,D_05,D_03,correlation,100,-0.00016522025254393918,-0.003804175851872464,0.043598245912741966,-0.06460788308632384,0.07244651739272352,-0.11556786030361625,0.10868608575706017,linear
gaussian,2048,rms_volatility_correlation,D_05,D_04,correlation,100,-0.005408251985746649,0.0011295674120855434,0.045913404847597816,-0.08681067529754503,0.05987958566914159,-0.15043906876198815,0.10684799808084106,linear
gaussian,2048,rms_volatility_correlation,D_05,D_05,correlation,100,1.0,1.0,1.242520249155451e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,rms_volatility_correlation,D_05,D_06,correlation,100,0.0036183028429852392,0.0031074857553908355,0.037279481116896294,-0.05225991002327699,0.06322789328637099,-0.09823587441626336,0.11231195487380072,linear
