window_length,window_id,window_end_timestamp_utc,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
8192,2025,2024-01-25 19:05:00+00:00,D_06,6,detail,160,0.1111111111111111,6.376648185124249e-06,2.789981069220139e-05,0.013435036951451073,0.013414028487945219
8192,2025,2024-01-25 19:05:00+00:00,D_07,7,detail,320,0.2222222222222222,3.2625255483976104e-06,1.9956390285623555e-05,0.00687385441775333,0.00686310572236814
8192,2025,2024-01-25 19:05:00+00:00,D_08,8,detail,640,0.4444444444444444,1.5086224516388988e-06,1.3570483193905681e-05,0.003178534834466861,0.0031735645367807967
8192,2025,2024-01-25 19:05:00+00:00,D_09,9,detail,1280,0.8888888888888888,1.1625958819963239e-06,1.1912952724933663e-05,0.0024494872824665824,0.00244565700165919
8192,2025,2024-01-25 19:05:00+00:00,A_09,9,approximation,2560,1.7777777777777777,7.433419756848121e-07,9.52575389490052e-06,,0.0015637071622334239
8192,2026,2024-01-26 19:05:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0002233333835151899,0.00016511322150991294,0.4961119509051042,0.4954433688322203
8192,2026,2024-01-26 19:05:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012209038964572193,0.00012208035066012891,0.27121113933145496,0.2708456433876612
8192,2026,2024-01-26 19:05:00+00:00,D_03,3,detail,20,0.013888888888888888,5.243842271382158e-05,8.000734121118699e-05,0.11648651798252603,0.11632953567739572
8192,2026,2024-01-26 19:05:00+00:00,D_04,4,detail,40,0.027777777777777776,2.8709072403497076e-05,5.919903242351191e-05,0.06377422709760763,0.06368828217152453
8192,2026,2024-01-26 19:05:00+00:00,D_05,5,detail,80,0.05555555555555555,1.1854380846301038e-05,3.804034666511311e-05,0.026333277702885415,0.02629778983092365
8192,2026,2024-01-26 19:05:00+00:00,D_06,6,detail,160,0.1111111111111111,5.4148919426509595e-06,2.570987264832587e-05,0.012028620904434482,0.012012410611004646
8192,2026,2024-01-26 19:05:00+00:00,D_07,7,detail,320,0.2222222222222222,3.1453985980296248e-06,1.95948919312799e-05,0.006987176794984266,0.006977760571213253
8192,2026,2024-01-26 19:05:00+00:00,D_08,8,detail,640,0.4444444444444444,2.403095876972534e-06,1.712736595829898e-05,0.005338228279946195,0.005331034251012962
8192,2026,2024-01-26 19:05:00+00:00,D_09,9,detail,1280,0.8888888888888888,7.782767101035727e-07,9.747024223516376e-06,0.0017288610010568724,0.001726531112672394
8192,2026,2024-01-26 19:05:00+00:00,A_09,9,approximation,2560,1.7777777777777777,6.074837483032356e-07,8.61137218996179e-06,,0.0013476435543713018
8192,2027,2024-01-29 19:10:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00021941942816845013,0.00016366000783665511,0.49687656565793215,0.495995011980862
8192,2027,2024-01-29 19:10:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012024944821650404,0.00012115645967814187,0.2723055718029124,0.27182244984727805
8192,2027,2024-01-29 19:10:00+00:00,D_03,3,detail,20,0.013888888888888888,5.061885876169316e-05,7.860699655522559e-05,0.11462669877949523,0.11442332918071837
8192,2027,2024-01-29 19:10:00+00:00,D_04,4,detail,40,0.027777777777777776,2.8680620375089065e-05,5.9169690652233336e-05,0.06494743091743346,0.06483220180320524
8192,2027,2024-01-29 19:10:00+00:00,D_05,5,detail,80,0.05555555555555555,1.1325203647344714e-05,3.7181596904349186e-05,0.02564598923915369,0.02560048836896083
8192,2027,2024-01-29 19:10:00+00:00,D_06,6,detail,160,0.1111111111111111,6.6571066631311515e-06,2.850675517687434e-05,0.015075056587312532,0.015048310565291975
8192,2027,2024-01-29 19:10:00+00:00,D_07,7,detail,320,0.2222222222222222,2.461636553923854e-06,1.733472651641519e-05,0.005574390230716967,0.005564500200586837
8192,2027,2024-01-29 19:10:00+00:00,D_08,8,detail,640,0.4444444444444444,1.486756365557971e-06,1.347177843326655e-05,0.0033667683990197127,0.0033607951105470127
8192,2027,2024-01-29 19:10:00+00:00,D_09,9,detail,1280,0.8888888888888888,6.983989144950714e-07,9.23329701363896e-06,0.0015815283860239132,0.0015787224534031142
8192,2027,2024-01-29 19:10:00+00:00,A_09,9,approximation,2560,1.7777777777777777,7.848705192331055e-07,9.788227089459176e-06,,0.0017741904891465986
8192,2028,2024-01-30 19:10:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0002197321294519345,0.0001637765847381368,0.49505276054679037,0.49452985345787687
8192,2028,2024-01-30 19:10:00+00:00,D_02,2,detail,10,0.006944444444444444,0.00012065131495711561,0.00012135873977736843,0.27182536610416713,0.27153824638237145
8192,2028,2024-01-30 19:10:00+00:00,D_03,3,detail,20,0.013888888888888888,5.0921132041995924e-05,7.884135019911953e-05,0.11472444676358534,0.11460326730299997
8192,2028,2024-01-30 19:10:00+00:00,D_04,4,detail,40,0.027777777777777776,2.9591851974473502e-05,6.010230127023193e-05,0.06666994055987438,0.06659951941022219
8192,2028,2024-01-30 19:10:00+00:00,D_05,5,detail,80,0.05555555555555555,1.1262033405853306e-05,3.707775528855479e-05,0.025373170236159863,0.025346369435029003
