window_length,window_id,window_end_timestamp_utc,scale_group,component_start,component_end,group_energy,group_detail_energy_share
8192,547,2018-03-22 20:40:00+00:00,coarse,D_07,D_09,9.198634086224635e-06,0.013696467447240202
8192,548,2018-03-23 20:40:00+00:00,fine,D_01,D_03,0.0005990767069308267,0.8943168458161456
8192,548,2018-03-23 20:40:00+00:00,mid,D_04,D_06,6.366321085709844e-05,0.09503804983494803
8192,548,2018-03-23 20:40:00+00:00,coarse,D_07,D_09,7.130844161230199e-06,0.010645104348906401
8192,549,2018-03-26 20:45:00+00:00,fine,D_01,D_03,0.0005942534459701128,0.8952179403284657
8192,549,2018-03-26 20:45:00+00:00,mid,D_04,D_06,6.082326731088521e-05,0.09162770608289723
8192,549,2018-03-26 20:45:00+00:00,coarse,D_07,D_09,8.731974190205352e-06,0.013154353588637169
8192,550,2018-03-27 20:45:00+00:00,fine,D_01,D_03,0.00054543983567723,0.8949700214362897
8192,550,2018-03-27 20:45:00+00:00,mid,D_04,D_06,5.722384304144358e-05,0.09389417619246619
8192,550,2018-03-27 20:45:00+00:00,coarse,D_07,D_09,6.786719186144078e-06,0.011135802371244017
8192,551,2018-03-28 20:45:00+00:00,fine,D_01,D_03,0.0005364697971779232,0.8927504359191429
8192,551,2018-03-28 20:45:00+00:00,mid,D_04,D_06,5.675474288045205e-05,0.09444673626276519
8192,551,2018-03-28 20:45:00+00:00,coarse,D_07,D_09,7.693449553798551e-06,0.012802827818091821
8192,552,2018-03-29 20:45:00+00:00,fine,D_01,D_03,0.000524595860108446,0.891285377521612
8192,552,2018-03-29 20:45:00+00:00,mid,D_04,D_06,5.7455308246664465e-05,0.0976162413684752
8192,552,2018-03-29 20:45:00+00:00,coarse,D_07,D_09,6.532323912185867e-06,0.011098381109912795
8192,553,2018-03-30 20:45:00+00:00,fine,D_01,D_03,0.0005111263734866776,0.8914484616545478
8192,553,2018-03-30 20:45:00+00:00,mid,D_04,D_06,5.517731816453184e-05,0.09623399994106843
8192,553,2018-03-30 20:45:00+00:00,coarse,D_07,D_09,7.062459587658455e-06,0.012317538404383748
8192,554,2018-04-02 21:20:00+00:00,fine,D_01,D_03,0.000503059181108424,0.8892377576975575
8192,554,2018-04-02 21:20:00+00:00,mid,D_04,D_06,5.641619344567999e-05,0.09972466707978751
8192,554,2018-04-02 21:20:00+00:00,coarse,D_07,D_09,6.2441720505755e-06,0.011037575222655124
8192,555,2018-04-03 21:20:00+00:00,fine,D_01,D_03,0.0004913379307437589,0.8864844168338062
8192,555,2018-04-03 21:20:00+00:00,mid,D_04,D_06,5.5218628409826995e-05,0.09962685667306362
8192,555,2018-04-03 21:20:00+00:00,coarse,D_07,D_09,7.6978884300906e-06,0.013888726493130107
8192,556,2018-04-04 21:20:00+00:00,fine,D_01,D_03,0.00048213812279690026,0.8856975101276063
8192,556,2018-04-04 21:20:00+00:00,mid,D_04,D_06,5.633515068612695e-05,0.10348881437941115
