event_id,scale_group,component_start,component_end,group_energy,group_rms_volatility,group_detail_energy_share
59,fine,D_01,D_03,0.00030900543910974103,0.0002589565060565648,0.8965828739335631
59,mid,D_04,D_06,3.1396571989592615e-05,8.254388036215316e-05,0.09109751863006468
59,coarse,D_07,D_09,4.245927304895076e-06,3.0354986351089e-05,0.012319607436372176
60,fine,D_01,D_03,0.0003541669942035254,0.0002772348403938358,0.8899923601443296
60,mid,D_04,D_06,3.9752847733043534e-05,9.288121489814627e-05,0.09989561804299099
60,coarse,D_07,D_09,4.024016981602355e-06,2.955110106463811e-05,0.010112021812679383
61,fine,D_01,D_03,0.0003183406056947131,0.00026283898651656315,0.885232993918439
61,mid,D_04,D_06,3.772714540686639e-05,9.048378054336953e-05,0.10491063120155165
61,coarse,D_07,D_09,3.5444728911058344e-06,2.7734452332074638e-05,0.009856374880009448
62,fine,D_01,D_03,0.0003286810857403578,0.00026707369885620966,0.8713790050637306
62,mid,D_04,D_06,4.47983540221282e-05,9.859951836679142e-05,0.11876663078547718
62,coarse,D_07,D_09,3.717031383062006e-06,2.8401539316740055e-05,0.009854364150792182
63,fine,D_01,D_03,0.0003139899496447859,0.0002610367407941675,0.893340188445607
63,mid,D_04,D_06,3.204314092887566e-05,8.338948749806554e-05,0.09116669367339501
63,coarse,D_07,D_09,5.445499224388102e-06,3.437657579843999e-05,0.015493117880997937
64,fine,D_01,D_03,0.00018985631540814263,0.00020298142116173223,0.8786730705436403
64,mid,D_04,D_06,2.3287956110401103e-05,7.10901534658064e-05,0.10777887403019759
64,coarse,D_07,D_09,2.9273503085340016e-06,2.520467564947132e-05,0.013548055426162173
65,fine,D_01,D_03,0.00016349122495701738,0.00018836100054716876,0.8774318733238339
65,mid,D_04,D_06,2.0518369780782738e-05,6.672908825832944e-05,0.11011888643587163
65,coarse,D_07,D_09,2.3196576264773495e-06,2.2436530979913524e-05,0.012449240240294484
66,fine,D_01,D_03,0.000191870681639558,0.00020405539146604878,0.8768976217724735
66,mid,D_04,D_06,2.4804442766185564e-05,7.33683077793934e-05,0.11336258716128499
66,coarse,D_07,D_09,2.1311271743778567e-06,2.1505445724944365e-05,0.0097397910662415
67,fine,D_01,D_03,0.0001887051507990023,0.00020236511218156087,0.8756880128645862
67,mid,D_04,D_06,2.4791548717366226e-05,7.334923584287698e-05,0.1150454131231949
67,coarse,D_07,D_09,1.9968872711248243e-06,2.0817114890866102e-05,0.009266574012218901
68,fine,D_01,D_03,0.00012756739044303617,0.0001663847814418451,0.8667157616601229
68,mid,D_04,D_06,1.8217455320490142e-05,6.287639322320537e-05,0.12377266328622154
68,coarse,D_07,D_09,1.3999593203125945e-06,1.7430163980504652e-05,0.009511575053655534
69,fine,D_01,D_03,0.00014526560764689146,0.00017755183591633018,0.8741727154932005
69,mid,D_04,D_06,1.9328272198662145e-05,6.476498680100742e-05,0.11631279053172214
69,coarse,D_07,D_09,1.5810705644850766e-06,1.852334396934466e-05,0.009514493975077266
70,fine,D_01,D_03,0.00019661175581778568,0.00020656108474562747,0.8770821790738921
70,mid,D_04,D_06,2.4332610811757368e-05,7.266714869237192e-05,0.10854742242936884
70,coarse,D_07,D_09,3.2213506871482288e-06,2.644008018317894e-05,0.014370398496739129
71,fine,D_01,D_03,0.00020451630674712243,0.0002106724449670292,0.8862104894494713
71,mid,D_04,D_06,2.352586913313902e-05,7.14523642021282e-05,0.10194234548241805
71,coarse,D_07,D_09,2.7340439703649264e-06,2.4358274043989873e-05,0.011847165068110484
72,fine,D_01,D_03,0.00018528709013634006,0.00020052399355536795,0.8813761633874678
72,mid,D_04,D_06,2.32033774873982e-05,7.096094125571601e-05,0.11037414324131137
72,coarse,D_07,D_09,1.7342897876835054e-06,1.940012812549141e-05,0.008249693371220793
73,fine,D_01,D_03,0.00020109095069770135,0.00020890076407536665,0.8810497401052101
73,mid,D_04,D_06,2.4643112464245556e-05,7.312932154883004e-05,0.10797008894073122
73,coarse,D_07,D_09,2.5061161878457116e-06,2.332084946848624e-05,0.01098017095405857
74,fine,D_01,D_03,0.00017996451030998287,0.0001976228687281761,0.8628927080681583
74,mid,D_04,D_06,2.5885501777925996e-05,7.495007275959089e-05,0.12411564196954147
74,coarse,D_07,D_09,2.709532600893621e-06,2.4248839287503027e-05,0.012991649962300168
75,fine,D_01,D_03,0.00012417896188422956,0.00016416016397616617,0.8879405235250588
75,mid,D_04,D_06,1.3686985858570517e-05,5.450014704875222e-05,0.09786866635323849
75,coarse,D_07,D_09,1.984592461456131e-06,2.0752930586309187e-05,0.014190810121702568
76,fine,D_01,D_03,0.00012265954031804617,0.00016315276232335956,0.9013795622972545
76,mid,D_04,D_06,1.1490344364528741e-05,4.9935601680753894e-05,0.08443828785831389
76,coarse,D_07,D_09,1.9299039532316057e-06,2.0464993576173707e-05,0.01418214984443173
77,fine,D_01,D_03,8.677475628449696e-05,0.00013722728343403229,0.8865435836558153
77,mid,D_04,D_06,9.730691803842597e-06,4.595318563419863e-05,0.0994146541298914
77,coarse,D_07,D_09,1.3744056315038494e-06,1.727035352861775e-05,0.014041762214293266
78,fine,D_01,D_03,0.0005046025760534484,0.0003309165565104142,0.8811418939995381
78,mid,D_04,D_06,6.143051226492153e-05,0.00011546113789083845,0.10727055408599694
78,coarse,D_07,D_09,6.635830830437333e-06,3.7948220702978825e-05,0.011587551914464946
79,fine,D_01,D_03,0.0012098034596934087,0.0005123906259674339,0.888878063400328
79,mid,D_04,D_06,0.00013544692144554983,0.0001714463856747252,0.09951682338432698
79,coarse,D_07,D_09,1.5795086746037576e-05,5.854701700424164e-05,0.011605113215344992
80,fine,D_01,D_03,0.001729094615991634,0.0006125663611994904,0.8858034440163066
80,mid,D_04,D_06,0.00020423531167239743,0.000210527668572236,0.10462836492345469
80,coarse,D_07,D_09,1.8677176927677005e-05,6.36648003102265e-05,0.009568191060238799
81,fine,D_01,D_03,0.0003659759054187362,0.00028181883271802846,0.8938596423715575
81,mid,D_04,D_06,3.912843189737044e-05,9.214886419361015e-05,0.09556729179295534
81,coarse,D_07,D_09,4.328965263414204e-06,3.065037661560506e-05,0.010573065835487148
82,fine,D_01,D_03,0.00033897425391692435,0.00027122337855671924,0.8895970017674782
