event_id,component,component_type,k,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
107,A_09,approximation,9,2560,1.7777777777777777,1.7266134478254422e-06,1.935714593943156e-05,,0.001510374833968424
108,D_01,detail,1,5,0.003472222222222222,0.0006813505223951632,0.00038452896712920124,0.5382695546294147,0.536912503476761
108,D_02,detail,2,10,0.006944444444444444,0.00033205960706124687,0.0002684428182523748,0.2623283771397966,0.26166701142904886
108,D_03,detail,3,20,0.013888888888888888,0.00012550606058551615,0.00016503502139481594,0.09915027451241548,0.0989003031121091
108,D_04,detail,4,40,0.027777777777777776,6.407656171115325e-05,0.00011792160041131668,0.050620732208734136,0.050493110420726205
108,D_05,detail,5,80,0.05555555555555555,3.653658861621449e-05,8.90446358987346e-05,0.02886404667746319,0.02879127646878796
108,D_06,detail,6,160,0.1111111111111111,1.2218393764745259e-05,5.1493311671159004e-05,0.009652578450981072,0.009628242980768562
108,D_07,detail,7,320,0.2222222222222222,1.0152116143970013e-05,4.693772688205729e-05,0.008020211118575378,0.007999991069625215
108,D_08,detail,8,640,0.4444444444444444,2.766535585681451e-06,2.4502584479973365e-05,0.002185573839932456,0.002180063709416655
108,D_09,detail,9,1280,0.8888888888888888,1.1501860289109208e-06,1.5798934871681283e-05,0.0009086514226869424,0.0009063605881972104
108,A_09,approximation,9,2560,1.7777777777777777,3.199362702137871e-06,2.63496895988739e-05,,0.0025211367445591515
109,D_01,detail,1,5,0.003472222222222222,0.0005868635429474164,0.00035687188135538264,0.532019896381231,0.5310656014755211
109,D_02,detail,2,10,0.006944444444444444,0.0002557923553215734,0.0002356066505351305,0.23188801555098137,0.231472073302504
109,D_03,detail,3,20,0.013888888888888888,0.00012900788249269493,0.00016732155353408758,0.11695182142584608,0.11674204256577085
109,D_04,detail,4,40,0.027777777777777776,7.537284440015076e-05,0.00012789430823884944,0.06832909174479058,0.06820652846359118
109,D_05,detail,5,80,0.05555555555555555,3.138604117280584e-05,8.253003605801574e-05,0.028452948855385577,0.028401912222489303
109,D_06,detail,6,160,0.1111111111111111,1.6163266288023988e-05,5.9225444483859817e-05,0.014652774668109284,0.01462649168825194
109,D_07,detail,7,320,0.2222222222222222,5.790940485680167e-06,3.545016946534338e-05,0.005249764777802,0.005240348167976487
109,D_08,detail,8,640,0.4444444444444444,2.068248597454012e-06,2.118581297289498e-05,0.0018749663660853823,0.001871603200790807
109,D_09,detail,9,1280,0.8888888888888888,6.405841845792574e-07,1.1790490450200215e-05,0.0005807202297687255,0.0005796785800847935
109,A_09,approximation,9,2560,1.7777777777777777,1.9821827412055955e-06,2.0740327508442683e-05,,0.0017937203330196758
110,D_01,detail,1,5,0.003472222222222222,0.0006331249457333429,0.0003706708872114985,0.5239222463882031,0.5218737562026565
110,D_02,detail,2,10,0.006944444444444444,0.0002813138833270911,0.00024708099849896835,0.23279228323913514,0.231882085760838
110,D_03,detail,3,20,0.013888888888888888,0.00014135139018345733,0.00017514341233275887,0.11697081022330062,0.11651346458014519
110,D_04,detail,4,40,0.027777777777777776,7.152887181817902e-05,0.00012459036335567,0.059191424152757986,0.05895999085844507
110,D_05,detail,5,80,0.05555555555555555,4.525964754312929e-05,9.910586321239996e-05,0.03745316998064038,0.037306731359925474
110,D_06,detail,6,160,0.1111111111111111,1.7377850404632445e-05,6.141038101851052e-05,0.014380482845842299,0.014324256414962133
110,D_07,detail,7,320,0.2222222222222222,9.59538402127295e-06,4.5632571720633366e-05,0.0079403523510826,0.007909306267483162
110,D_08,detail,8,640,0.4444444444444444,5.8276000974869285e-06,3.5562201282329335e-05,0.004822443586693552,0.0048035882538158305
110,D_09,detail,9,1280,0.8888888888888888,3.053453141923681e-06,2.574182862325158e-05,0.002526787232344431,0.002516907715141059
110,A_09,approximation,9,2560,1.7777777777777777,4.743413832911947e-06,3.208405651549648e-05,,0.003909912586587615
111,D_01,detail,1,5,0.003472222222222222,0.0005188497614383844,0.00033555566524619436,0.47828628611249085,0.4770057370588509
111,D_02,detail,2,10,0.006944444444444444,0.0002677127876008753,0.00024103400826968599,0.24678310455704125,0.2461223750312933
111,D_03,detail,3,20,0.013888888888888888,0.00015648505817519623,0.00018428084823877752,0.1442511163524931,0.14386490283164746
111,D_04,detail,4,40,0.027777777777777776,6.117213524187155e-05,0.00011521806698810564,0.05638972117341958,0.056238745061036
111,D_05,detail,5,80,0.05555555555555555,3.787237317365615e-05,9.065776846948281e-05,0.03491152556624125,0.0348180545169491
111,D_06,detail,6,160,0.1111111111111111,2.0464067831780512e-05,6.664073035809782e-05,0.018864194858416106,0.01881368844086864
111,D_07,detail,7,320,0.2222222222222222,9.611369643984108e-06,4.5670567152046696e-05,0.008859956452001575,0.008836235075956867
111,D_08,detail,8,640,0.4444444444444444,9.787619902631075e-06,4.608741105807808e-05,0.009022427533034606,0.00899827116189365
111,D_09,detail,9,1280,0.8888888888888888,2.8548591913587865e-06,2.4890642726674594e-05,0.002631667394861575,0.0026246214491804304
111,A_09,approximation,9,2560,1.7777777777777777,2.9122342818722017e-06,2.5139516440548872e-05,,0.0026773693723235346
112,D_01,detail,1,5,0.003472222222222222,0.0005361630594624818,0.00034110823885171365,0.5096247443942639,0.5083031807080144
112,D_02,detail,2,10,0.006944444444444444,0.0002530353557600846,0.00023433349436194448,0.24051093454894815,0.23988723932860792
112,D_03,detail,3,20,0.013888888888888888,0.0001335235660444139,0.000170224758262747,0.12691458692475746,0.12658547082280194
112,D_04,detail,4,40,0.027777777777777776,6.681413155316548e-05,0.0001204142621166042,0.06350705091253933,0.06334236383007326
112,D_05,detail,5,80,0.05555555555555555,2.883316694444784e-05,7.91024505789624e-05,0.027406019633043358,0.027334950084851147
112,D_06,detail,6,160,0.1111111111111111,2.3757745329953663e-05,7.180362598981393e-05,0.022581814762284796,0.022523255387592502
112,D_07,detail,7,320,0.2222222222222222,4.58056792698405e-06,3.152850867317585e-05,0.004353844819727194,0.004342554388340947
112,D_08,detail,8,640,0.4444444444444444,3.8496765386559796e-06,2.8903862659133486e-05,0.0036591301608506883,0.0036496412700599
112,D_09,detail,9,1280,0.8888888888888888,1.5169583106769564e-06,1.8143897659607917e-05,0.0014418738435850685,0.001438134762755899
112,A_09,approximation,9,2560,1.7777777777777777,2.7353421099124837e-06,2.436405608090834e-05,,0.0025932094169019847
113,D_01,detail,1,5,0.003472222222222222,0.0004016109006187565,0.0002952204995650631,0.4722063014850522,0.47188731271494355
113,D_02,detail,2,10,0.006944444444444444,0.00023509457416455535,0.0002258733888622727,0.2764196370029089,0.2762329076861587
113,D_03,detail,3,20,0.013888888888888888,0.00010961090144913209,0.00015423063245702167,0.1288783703230985,0.12879130932303628
113,D_04,detail,4,40,0.027777777777777776,5.541646759438216e-05,0.0001096637731483919,0.06515760693694507,0.06511359112259725
113,D_05,detail,5,80,0.05555555555555555,2.386322689455294e-05,7.196284923364872e-05,0.028057918985800564,0.02803896506451459
113,D_06,detail,6,160,0.1111111111111111,1.1161459566866474e-05,4.921576725280006e-05,0.013123427509374782,0.013114562261309137
113,D_07,detail,7,320,0.2222222222222222,8.591431537889161e-06,4.317939287623176e-05,0.010101638438394527,0.010094814494683035
113,D_08,detail,8,640,0.4444444444444444,3.4155079232453446e-06,2.7225220971633726e-05,0.0040158879194855494,0.004013175073120937
113,D_09,detail,9,1280,0.8888888888888888,1.7343468816589236e-06,1.9400447455435677e-05,0.002039211398939916,0.0020378338537142514
113,A_09,approximation,9,2560,1.7777777777777777,5.749244876602075e-07,1.1169896995254416e-05,,0.0006755284059222583
114,D_01,detail,1,5,0.003472222222222222,0.0002855813865996328,0.00024894804136660234,0.4904298644878267,0.49018050801517044
114,D_02,detail,2,10,0.006944444444444444,0.00015630200234037763,0.00018417303105776794,0.268417948171227,0.2682814724840795
114,D_03,detail,3,20,0.013888888888888888,6.6656532884109e-05,0.00012027216394923056,0.11446948549000419,0.11441128408508285
114,D_04,detail,4,40,0.027777777777777776,4.404103549459341e-05,9.776255102735047e-05,0.07563181664846215,0.07559336205100457
114,D_05,detail,5,80,0.05555555555555555,1.5575836297643433e-05,5.813925358695547e-05,0.026748435448445518,0.026734835347808364
114,D_06,detail,6,160,0.1111111111111111,8.67422789075824e-06,4.3386955731900685e-05,0.014896280390167977,0.014888706455131066
114,D_07,detail,7,320,0.2222222222222222,3.7037377980989257e-06,2.8350706216780884e-05,0.006360441232000214,0.006357207299271003
114,D_08,detail,8,640,0.4444444444444444,1.2070247687448576e-06,1.6184595733305585e-05,0.002072827647548624,0.002071773729286209
114,D_09,detail,9,1280,0.8888888888888888,5.66528038876713e-07,1.1088031966098904e-05,0.0009729004843175513,0.00097240581820812
114,A_09,approximation,9,2560,1.7777777777777777,2.9622219638007434e-07,8.017750982142566e-06,,0.000508444714957978
115,D_01,detail,1,5,0.003472222222222222,0.00031283530266695185,0.0002605563386553622,0.5392559125621151,0.5385744107525224
115,D_02,detail,2,10,0.006944444444444444,0.00013649809894015764,0.0001721103810841866,0.23529124200324636,0.2349938852131378
115,D_03,detail,3,20,0.013888888888888888,6.067949761456223e-05,0.00011475318624404382,0.10459745936917944,0.10446527100336214
115,D_04,detail,4,40,0.027777777777777776,3.35375373158174e-05,8.531184792666117e-05,0.05781097956703737,0.0577379191030323
115,D_05,detail,5,80,0.05555555555555555,1.693860411289849e-05,6.06293027412441e-05,0.029198246938753884,0.02916134672558579
115,D_06,detail,6,160,0.1111111111111111,8.820775131720027e-06,4.375192240746644e-05,0.015204981990874878,0.015185766211316017
115,D_07,detail,7,320,0.2222222222222222,6.296658075492682e-06,3.696569025415722e-05,0.010853986323296504,0.010840269252888363
115,D_08,detail,8,640,0.4444444444444444,3.103421348118086e-06,2.595159986621064e-05,0.005349582661793886,0.005342821956570911
